#,Season,Name,Team,ERA,FIP,GB%,WAR,xFIP,WPA,K%,BB%,K-BB%,xERA
1,2004,Brandon Claussen,CIN,6.14,5.14,37.40%,0.7,5.38,-1.01,14.40%,11.20%,3.20%,
2,2004,Tyler Yates,NYM,6.34,5.44,55.40%,0.1,5.27,-0.96,12.10%,11.50%,0.60%,
3,2004,Nate Robertson,DET,5.05,4.59,49.30%,1.9,3.99,-0.77,17.70%,7.40%,10.30%,
4,2004,Chris Capuano,MIL,4.99,5.31,37.70%,0.4,4.43,-0.65,20.80%,9.60%,11.20%,
5,2004,Edgar Gonzalez,ARI,9.32,7.41,40.20%,-0.7,5.12,-2.07,13.60%,7.90%,5.70%,
6,2004,Sergio Mitre,CHC,6.51,4.77,60.00%,0.4,4.26,-0.83,14.70%,8.50%,6.30%,
7,2004,Mike Wood,KCR,5.94,5.07,51.50%,0.7,4.53,-0.38,12.50%,6.50%,6.00%,
8,2004,Doug Waechter,TBD,6.01,7.3,30.10%,-0.9,6.34,-1.31,11.70%,10.70%,1.00%,
9,2004,Noah Lowry,SFG,3.48,3.62,40.90%,1.7,4.01,0.32,19.70%,6.90%,12.80%,
10,2004,Casey Daigle,ARI,7.16,6.52,45.20%,-0.3,6.18,-1.39,7.40%,11.70%,-4.30%,
11,2004,Sean Burnett,PIT,5.02,5.06,56.40%,0.3,4.83,-0.25,9.40%,8.80%,0.60%,
12,2004,Daniel Cabrera,BAL,5.03,5.11,43.30%,1.2,5.79,-0.23,11.40%,13.40%,-2.00%,
13,2004,Felix Diaz,CHW,8.27,6.6,32.20%,0,4.9,-1,14.40%,6.50%,7.80%,
14,2004,Zack Greinke,KCR,3.97,4.7,34.60%,1.8,4.35,1.75,16.70%,4.30%,12.40%,
15,2004,Bobby Madritsch,SEA,3.3,3.35,40.60%,2.2,4.39,0.98,17.80%,9.30%,8.40%,
16,2004,Ben Hendrickson,MIL,5.96,5.01,50.70%,0.2,4.55,-0.66,13.90%,9.10%,4.80%,
17,2004,Chris Young,TEX,4.71,5.06,32.50%,0.5,4.76,-0.06,17.10%,6.30%,10.80%,
18,2004,Brad Hennessey,SFG,4.98,3.66,47.90%,0.6,4.35,-0.88,15.30%,9.20%,6.10%,
