"Season","Name","PA","Team","WAR","pythW","pythL","WARSHARE"
2000,"Darin Erstad",747,"LAA",8.7,81,81,0.107407407407407
2007,"Jimmy Rollins",778,"PHI",6.5,87,75,0.0747126436781609
2000,"Johnny Damon",741,"KCR",4.5,77,85,0.0584415584415584
2006,"Jimmy Rollins",758,"PHI",4.3,86,76,0.05
2007,"José Reyes",765,"NYM",5.6,86,76,0.0651162790697674
2004,"Ichiro Suzuki",762,"SEA",7.1,69,93,0.102898550724638
2006,"Ichiro Suzuki",752,"SEA",5.6,78,84,0.0717948717948718
2006,"Grady Sizemore",751,"CLE",7.9,89,73,0.0887640449438202
2000,"Andruw Jones",729,"ATL",7.7,90,72,0.0855555555555556
2006,"Juan Pierre",750,"CHC",3.1,70,92,0.0442857142857143
2019,"Marcus Semien",747,"OAK",6.5,97,65,0.0670103092783505
2006,"Michael Young",748,"TEX",3.4,86,76,0.0395348837209302
2023,"Marcus Semien",753,"TEX",6.3,96,66,0.065625
2000,"Luis Gonzalez",722,"ARI",4.7,85,77,0.0552941176470588
2000,"Jeff Bagwell",719,"HOU",5.9,81,81,0.0728395061728395
2008,"José Reyes",763,"NYM",5.9,89,73,0.0662921348314607
2004,"Juan Pierre",748,"MIA",4,83,79,0.0481927710843374
2006,"Chase Utley",739,"PHI",7.2,86,76,0.0837209302325581
2000,"Omar Vizquel",717,"CLE",2.5,92,70,0.0271739130434783
2000,"Mike Sweeney",717,"KCR",3.3,77,85,0.0428571428571429
2007,"Grady Sizemore",748,"CLE",6.4,91,71,0.0703296703296703
2019,"Whit Merrifield",735,"KCR",3.3,64,98,0.0515625
2006,"Rafael Furcal",736,"LAD",3.8,88,74,0.0431818181818182
2000,"Shawn Green",714,"LAD",3.2,88,74,0.0363636363636364
2003,"Juan Pierre",747,"MIA",4.2,87,75,0.0482758620689655
2000,"Mo Vaughn",712,"LAA",1.9,81,81,0.0234567901234568
2001,"Ichiro Suzuki",738,"SEA",6,109,53,0.055045871559633
2000,"Carlos Delgado",711,"TOR",7.4,77,85,0.0961038961038961
2005,"Derek Jeter",752,"NYY",4.4,90,72,0.0488888888888889
2004,"Michael Young",739,"TEX",2.7,87,75,0.0310344827586207
2000,"Ray Durham",709,"CHW",2.7,92,70,0.0293478260869565
2006,"Alfonso Soriano",728,"WSN",5.4,70,92,0.0771428571428572
2000,"Frank Thomas",707,"CHW",5.9,92,70,0.0641304347826087
2004,"Brian Roberts",736,"BAL",2.6,82,80,0.0317073170731707
2001,"Alex Rodriguez",732,"TEX",7.8,75,87,0.104
2006,"Mark Teixeira",727,"TEX",3.5,86,76,0.0406976744186047
2023,"Ronald Acuña Jr.",735,"ATL",9.1,101,61,0.0900990099009901
2008,"Ichiro Suzuki",749,"SEA",4.3,67,95,0.0641791044776119
2007,"Ichiro Suzuki",736,"SEA",6.1,79,83,0.0772151898734177
2000,"Sammy Sosa",705,"CHC",5.8,69,93,0.0840579710144927
2001,"Luis Gonzalez",728,"ARI",8.9,95,67,0.0936842105263158
2003,"Vernon Wells",735,"TOR",3.8,87,75,0.0436781609195402
2008,"Grady Sizemore",745,"CLE",7.4,85,77,0.0870588235294118
2003,"Rafael Furcal",734,"ATL",4,96,66,0.0416666666666667
2003,"Alfonso Soriano",734,"NYY",5.1,96,66,0.053125
2023,"Freddie Freeman",730,"LAD",7.8,100,62,0.078
2021,"Marcus Semien",724,"TOR",6,99,63,0.0606060606060606
2000,"Neifi Perez",699,"COL",0.3,87,75,0.00344827586206897
2007,"Juan Pierre",729,"LAD",2.4,82,80,0.0292682926829268
2004,"Cesar Izturis",728,"LAD",3.6,89,73,0.0404494382022472
2002,"Alfonso Soriano",741,"NYY",5.6,99,62,0.0565656565656566
2007,"Dan Uggla",728,"MIA",2.4,72,90,0.0333333333333333
2005,"Ichiro Suzuki",739,"SEA",3.6,76,86,0.0473684210526316
2000,"Todd Helton",697,"COL",8.3,87,75,0.0954022988505747
2000,"Roberto Alomar",697,"CLE",5,92,70,0.0543478260869565
2006,"Brian Giles",717,"SDP",3,86,76,0.0348837209302326
2021,"Whit Merrifield",720,"KCR",2.6,71,91,0.0366197183098592
2004,"Miguel Tejada",725,"BAL",6,82,80,0.0731707317073171
2004,"Jimmy Rollins",725,"PHI",5,86,76,0.0581395348837209
2019,"Ronald Acuña Jr.",715,"ATL",4.8,91,71,0.0527472527472527
2023,"Alex Bregman",724,"HOU",4.5,93,69,0.0483870967741935
2023,"Nathaniel Lowe",724,"TEX",2.7,96,66,0.028125
